soc_code,occ_title,employer_name,agc_type,url,url_type,source_type
47-1011,First-Line Supervisors of Construction Trades,Great Falls Construction,General Contractors,https://www.indeed.com/jobs?q=First-Line%20Supervisors%20of%20Construction%20Trades&l=Maine,indeed_fallback,local_employer
47-1011,First-Line Supervisors of Construction Trades,"H. B. Fleming, Inc",General Contractors,https://www.indeed.com/jobs?q=First-Line%20Supervisors%20of%20Construction%20Trades&l=Maine,indeed_fallback,local_employer
47-1011,First-Line Supervisors of Construction Trades,H. E. Callahan Construction Co,General Contractors,https://www.indeed.com/jobs?q=First-Line%20Supervisors%20of%20Construction%20Trades&l=Maine,indeed_fallback,local_employer
47-1011,First-Line Supervisors of Construction Trades,Hahnel Bros. Inc.,General Contractors,https://www.indeed.com/jobs?q=First-Line%20Supervisors%20of%20Construction%20Trades&l=Maine,indeed_fallback,local_employer
47-1011,First-Line Supervisors of Construction Trades,Hanscom Construction Corp,General Contractors,https://www.indeed.com/jobs?q=First-Line%20Supervisors%20of%20Construction%20Trades&l=Maine,indeed_fallback,local_employer
47-1011,First-Line Supervisors of Construction Trades,"Harold MacQuinn, Inc",General Contractors,https://www.indeed.com/jobs?q=First-Line%20Supervisors%20of%20Construction%20Trades&l=Maine,indeed_fallback,local_employer
47-1011,First-Line Supervisors of Construction Trades,Hebert Construction,General Contractors,https://www.indeed.com/jobs?q=First-Line%20Supervisors%20of%20Construction%20Trades&l=Maine,indeed_fallback,local_employer
47-1011,First-Line Supervisors of Construction Trades,Hird Contracting,Specialty Contractors,https://www.indeed.com/jobs?q=First-Line%20Supervisors%20of%20Construction%20Trades&l=Maine,indeed_fallback,local_employer
47-1011,First-Line Supervisors of Construction Trades,Homes of Acadia,General Contractors,https://www.indeed.com/jobs?q=First-Line%20Supervisors%20of%20Construction%20Trades&l=Maine,indeed_fallback,local_employer
47-1011,First-Line Supervisors of Construction Trades,J McLaughlin Construction LLC,Specialty Contractors,https://www.indeed.com/jobs?q=First-Line%20Supervisors%20of%20Construction%20Trades&l=Maine,indeed_fallback,local_employer
47-1011,First-Line Supervisors of Construction Trades,J Pratt Construction,General Contractors,https://www.indeed.com/jobs?q=First-Line%20Supervisors%20of%20Construction%20Trades&l=Maine,indeed_fallback,local_employer
47-1011,First-Line Supervisors of Construction Trades,Knowles Industrial Services,General Contractors,https://knowlesindustrial.com/join-our-team-2/,company_site,local_employer
47-1011,First-Line Supervisors of Construction Trades,Lajoie Brothers Inc.,General Contractors,https://www.indeed.com/jobs?q=First-Line%20Supervisors%20of%20Construction%20Trades&l=Maine,indeed_fallback,local_employer
47-1011,First-Line Supervisors of Construction Trades,Landry/French Construction,General Contractors,https://www.indeed.com/jobs?q=First-Line%20Supervisors%20of%20Construction%20Trades&l=Maine,indeed_fallback,local_employer
47-1011,First-Line Supervisors of Construction Trades,"Langford & Low, Inc",General Contractors,https://langfordandlow.com/careers/,company_site,local_employer
47-1011,First-Line Supervisors of Construction Trades,Maine Design Build,General Contractors,https://www.indeed.com/jobs?q=First-Line%20Supervisors%20of%20Construction%20Trades&l=Maine,indeed_fallback,local_employer
47-1011,First-Line Supervisors of Construction Trades,Maine Earth,General Contractors,https://www.maineearth.com/Job-Opportunities/,company_site,local_employer
47-1011,First-Line Supervisors of Construction Trades,McGee Construction,General Contractors,https://mcgeeconstruction.com/careers,company_site,local_employer
47-1011,First-Line Supervisors of Construction Trades,N.M. Curtis Earthworks,General Contractors,https://www.indeed.com/jobs?q=First-Line%20Supervisors%20of%20Construction%20Trades&l=Maine,indeed_fallback,local_employer
47-1011,First-Line Supervisors of Construction Trades,"Nickerson & O'Day, Inc",General Contractors,https://www.indeed.com/jobs?q=First-Line%20Supervisors%20of%20Construction%20Trades&l=Maine,indeed_fallback,local_employer
47-1011,First-Line Supervisors of Construction Trades,Northern Closure Constrution,General Contractors,https://www.indeed.com/jobs?q=First-Line%20Supervisors%20of%20Construction%20Trades&l=Maine,indeed_fallback,local_employer
47-1011,First-Line Supervisors of Construction Trades,Optimum Inc.,General Contractors,https://www.indeed.com/jobs?q=First-Line%20Supervisors%20of%20Construction%20Trades&l=Maine,indeed_fallback,local_employer
47-1011,First-Line Supervisors of Construction Trades,Ouellet Construction,General Contractors,https://www.indeed.com/jobs?q=First-Line%20Supervisors%20of%20Construction%20Trades&l=Maine,indeed_fallback,local_employer
47-1011,First-Line Supervisors of Construction Trades,"PC Construction, Inc",General Contractors,https://www.indeed.com/jobs?q=First-Line%20Supervisors%20of%20Construction%20Trades&l=Maine,indeed_fallback,local_employer
47-1011,First-Line Supervisors of Construction Trades,PNM Construction Inc.,General Contractors,https://www.indeed.com/jobs?q=First-Line%20Supervisors%20of%20Construction%20Trades&l=Maine,indeed_fallback,local_employer
47-1011,First-Line Supervisors of Construction Trades,"Patco Construction, Inc",General Contractors,https://www.indeed.com/jobs?q=First-Line%20Supervisors%20of%20Construction%20Trades&l=Maine,indeed_fallback,local_employer
47-1011,First-Line Supervisors of Construction Trades,Penobscot General Contractors,General Contractors,https://www.indeed.com/jobs?q=First-Line%20Supervisors%20of%20Construction%20Trades&l=Maine,indeed_fallback,local_employer
47-1011,First-Line Supervisors of Construction Trades,"Pike Industries, Inc",General Contractors,https://pikeindustries.com/careers/,company_site,local_employer
47-1011,First-Line Supervisors of Construction Trades,"Pratt & Sons, Inc",General Contractors,http://prattandsons.net/apply-online/,company_site,local_employer
